id,title,category,condition,price,base_price,discount_percentage,currency,stock,max_purchase_quantity,free_shipping,logistic_type,pickup_available,city,state,country,os,resolution,storage,ram,cpu,voice_assistant,remote_type,ports,bluetooth,wifi,wifi_standards,warranty_time,warranty_type
MLA2005336284,Apple Tv 4k (wifi) A2737 De Voz 3.ª Generación 2022 4k 64gb Negro - Distribuidor Autorizado,MLA352001,new,449999.0,449999.0,0,ARS,24,,True,cross_docking,False,Paternal,Capital Federal,Argentina,,4K,64 GB,,Apple 15 Bionic,,De voz,"USB-C,IR",Sí,Sí,IEEE 802.11ax,12 meses,Garantía de fábrica
MLA1449403463,Apple Tv Hd A1625 De Voz 4.ª Generación 2015 Full Hd 32gb Negro Con 2gb De Memoria Ram,MLA352001,new,599990.0,599990.0,0,ARS,82,,True,fulfillment,False,Chacarita,Capital Federal,Argentina,tvOS,Full HD,32 GB,2 GB,Apple A8,,De voz,"Apple power supply,USB-C,Ethernet,IR",Sí,Sí,IEEE 802.11ac,3 meses,Garantía del vendedor
MLA1399215546,Apple Tv 4k (wifi) A2737 De Voz 3.ª Generación 2022 4k 64gb Negro,MLA352001,new,477099.0,477099.0,0,ARS,13,,True,cross_docking,False,Piñeyro,Buenos Aires,Argentina,,4K,64 GB,,Apple 15 Bionic,,De voz,"USB-C,IR",Sí,Sí,IEEE 802.11ax,1 años,Garantía de fábrica
MLA1453365954,Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 32gb Negro,MLA352001,new,499997.0,499997.0,0,ARS,8,,True,drop_off,False,Tandil,Buenos Aires,Argentina,,4K,32 GB,,Chip A12 Bionic 64 Bits,,De voz,"Ethernet,DC jack",Sí,Sí,IEEE 802.11ax,6 meses,Garantía del vendedor
MLA1594852796,Apple Tv 4k A2169 De Voz 2.ª Generación 2021 4k 64gb Negro,MLA352001,new,466300.0,466300.0,0,ARS,1,,True,drop_off,False,Almagro,Capital Federal,Argentina,Apple,4K,64 GB,,Chip A12 Bionic con arquitectura de 64 bits,,De voz,"Ethernet,DC jack",Sí,Sí,IEEE 802.11ax,1 meses,Garantía del vendedor
MLA1981233514,Apple Tv 4k Wi-fi (tercera Generación) 128 Gb Ethernet,MLA352001,new,267141.48,267141.48,0,ARS,15,3,True,drop_off,False,Doral,Florida,United States of America,iOS,4K,128 GB,128 GB,Apple 15 Bionic,Siri,,"USB-C,IR,Gigabit Ethernet",Sí,Sí,IEEE 802.11ax,1 años,Garantía de fábrica
MLA1719499042,Streaming Apple Tv Fhd 32gb 2nd Gen 2021 Black Mhy93ll/a ,MLA352001,new,327990.0,327990.0,0,ARS,42,,True,cross_docking,False,Chacarita,Capital Federal,Argentina,tvOS,Full HD,32 GB,2 GB,Apple A8,,,"Apple power supply,USB-C,Ethernet,IR",Sí,Sí,IEEE 802.11ac,3 meses,Garantía del vendedor
MLA1366437937, Apple Tv 4k (wifi) A2737 3.ª Generación 2022 4k 64gb Negro,MLA352001,new,405399.0,405399.0,0,ARS,9,,True,fulfillment,False,Piñeyro,Buenos Aires,Argentina,,4K,64 GB,,Apple 15 Bionic,,,"IR,USB-C",Sí,Sí,IEEE 802.11ax,1 años,Garantía de fábrica
MLA1345295576, Apple Tv 4k Wifi A2737 De Voz 3.ª Generación 2022 4k 64gb,MLA352001,new,369717.0,369717.0,0,ARS,4,,True,xd_drop_off,False,Florida Oeste,Buenos Aires,Argentina,,4K,64 GB,,Apple 15 Bionic,,,"IR,USB-C",Sí,Sí,IEEE 802.11ax,12 meses,Garantía de fábrica
MLA1361163774, Apple Tv 4k (wifi + Ethernet) 3.ª Generación 2022 128gb,MLA352001,new,664999.0,664999.0,0,ARS,5,,True,xd_drop_off,False,Florida Oeste,Buenos Aires,Argentina,,4K,128 GB,,Apple 15 Bionic,,,"Gigabit Ethernet,IR,USB-C",Sí,Sí,IEEE 802.11ax,12 meses,Garantía de fábrica
